timestamp,sampleNum,BIOZI,BIOZQ,BIOZ
71710.28051757812,185.0,46790.0,-23599.0,178791.0
71728.96313476562,186.0,46243.0,-23322.0,179068.0
71747.64575195312,187.0,45702.0,-23047.0,179343.0
71766.32836914062,188.0,45166.0,-22776.0,179614.0
71785.01098632812,189.0,44636.0,-22509.0,179881.0
71803.69360351562,190.0,44112.0,-22247.0,180143.0
71822.37622070312,191.0,43594.0,-21988.0,180402.0
71841.05859375,192.0,43082.0,-21732.0,180658.0
71859.7412109375,193.0,42577.0,-21479.0,180911.0
71878.423828125,194.0,42080.0,-21227.0,181163.0
71897.1064453125,195.0,41589.0,-20976.0,181414.0
71915.7890625,196.0,41106.0,-20728.0,181662.0
71934.4716796875,197.0,40628.0,-20483.0,181907.0
71953.154296875,198.0,40154.0,-20241.0,182149.0
71971.8369140625,199.0,39684.0,-20000.0,182390.0
71990.51953125,200.0,39219.0,-19764.0,182626.0
72009.2021484375,201.0,38760.0,-19529.0,182861.0
72027.884765625,202.0,38308.0,-19298.0,183092.0
72046.5673828125,203.0,37860.0,-19070.0,183320.0
72065.25,204.0,37415.0,-18847.0,183543.0
72083.93237304688,205.0,36974.0,-18630.0,183760.0
72102.61499023438,206.0,36532.0,-18420.0,183970.0
72121.29760742188,207.0,36091.0,-18216.0,184174.0
72139.98022460938,208.0,35656.0,-18014.0,184376.0
72158.66284179688,209.0,35229.0,-17813.0,184577.0
72177.34545898438,210.0,34811.0,-17611.0,184779.0
72196.02807617188,211.0,34402.0,-17407.0,184983.0
72214.71069335938,212.0,34002.0,-17201.0,185189.0
72233.39331054688,213.0,33607.0,-16995.0,185395.0
72252.07592773438,214.0,33219.0,-16792.0,185598.0
72270.75854492188,215.0,32836.0,-16591.0,185799.0
72289.44116210938,216.0,32457.0,-16391.0,185999.0
72308.12353515625,217.0,32081.0,-16193.0,186197.0
72326.80615234375,218.0,31708.0,-15999.0,186391.0
72345.48876953125,219.0,31338.0,-15810.0,186580.0
72364.17138671875,220.0,30973.0,-15623.0,186767.0
72382.85400390625,221.0,30611.0,-15438.0,186952.0
72401.53662109375,222.0,30254.0,-15254.0,187136.0
72420.21923828125,223.0,29900.0,-15075.0,187315.0
72438.90185546875,224.0,29550.0,-14899.0,187491.0
72457.58447265625,225.0,29202.0,-14727.0,187663.0
72476.26708984375,226.0,28860.0,-14558.0,187832.0
72494.94970703125,227.0,28522.0,-14390.0,188000.0
72513.63232421875,228.0,28189.0,-14223.0,188167.0
72532.31469726562,229.0,27860.0,-14055.0,188335.0
72550.99731445312,230.0,27536.0,-13888.0,188502.0
72569.67993164062,231.0,27215.0,-13722.0,188668.0
72588.36254882812,232.0,26900.0,-13559.0,188831.0
72607.04516601562,233.0,26589.0,-13396.0,188994.0
72625.72778320312,234.0,26282.0,-13235.0,189155.0
72644.41040039062,235.0,25975.0,-13077.0,189313.0
72663.09301757812,236.0,25669.0,-12921.0,189469.0
72681.77563476562,237.0,25366.0,-12769.0,189621.0
72700.45825195312,238.0,25067.0,-12619.0,189771.0
72719.14086914062,239.0,24769.0,-12473.0,189917.0
72737.82348632812,240.0,24473.0,-12334.0,190056.0
72756.50610351562,241.0,24178.0,-12200.0,190190.0
72775.1884765625,242.0,23886.0,-12068.0,190322.0
72793.87109375,243.0,23597.0,-11937.0,190453.0
72812.5537109375,244.0,23312.0,-11805.0,190585.0
72831.236328125,245.0,23034.0,-11672.0,190718.0
72849.9189453125,246.0,22762.0,-11537.0,190853.0
72868.6015625,247.0,22497.0,-11402.0,190988.0
72887.2841796875,248.0,22237.0,-11265.0,191125.0
72905.966796875,249.0,21982.0,-11127.0,191263.0
72924.6494140625,250.0,21731.0,-10991.0,191399.0
72943.33203125,251.0,21483.0,-10855.0,191535.0
72962.0146484375,252.0,21239.0,-10723.0,191667.0
72980.697265625,253.0,20998.0,-10592.0,191798.0
72999.37963867188,254.0,20756.0,-10465.0,191925.0
73018.06225585938,255.0,20516.0,-10341.0,192049.0
73036.74487304688,256.0,20276.0,-10219.0,192171.0
73055.42749023438,257.0,20037.0,-10101.0,192289.0
73074.11010742188,258.0,19799.0,-9985.0,192405.0
73092.79272460938,259.0,19564.0,-9873.0,192517.0
73111.47534179688,260.0,19332.0,-9762.0,192628.0
73130.15795898438,261.0,19102.0,-9651.0,192739.0
73148.84057617188,262.0,18876.0,-9540.0,192850.0
73167.52319335938,263.0,18653.0,-9429.0,192961.0
73186.20581054688,264.0,18435.0,-9318.0,193072.0
73204.88842773438,265.0,18223.0,-9207.0,193183.0
73223.57080078125,266.0,18013.0,-9097.0,193293.0
73242.25341796875,267.0,17807.0,-8987.0,193403.0
73260.93603515625,268.0,17602.0,-8878.0,193512.0
73279.61865234375,269.0,17397.0,-8771.0,193619.0
73298.30126953125,270.0,17194.0,-8666.0,193724.0
73316.98388671875,271.0,16993.0,-8561.0,193829.0
73335.66650390625,272.0,16796.0,-8458.0,193932.0
73354.34912109375,273.0,16600.0,-8359.0,194031.0
73373.03173828125,274.0,16405.0,-8264.0,194126.0
73391.71435546875,275.0,16207.0,-8174.0,194216.0
73410.39697265625,276.0,16009.0,-8087.0,194303.0
73429.07958984375,277.0,15813.0,-8002.0,194388.0
73447.76220703125,278.0,15620.0,-7918.0,194472.0
73466.44458007812,279.0,15432.0,-7830.0,194560.0
73485.12719726562,280.0,15250.0,-7741.0,194649.0
73503.80981445312,281.0,15071.0,-7650.0,194740.0
73522.49243164062,282.0,14895.0,-7558.0,194832.0
